from;to;obsolete;new
1988;1989;02012011;02012021
1988;1989;02012011;02012029
1988;1989;02012019;02012029
1988;1989;03036010;03036011
1988;1989;03036010;03036019
1988;1989;03049037;03049038
1988;1989;03049037;03049039
1988;1989;07141090;07141091
1988;1989;07141090;07141099
1988;1989;07142000;07142010
1988;1989;07142000;07142090
1988;1989;07149010;07149011
1988;1989;07149010;07149019
1988;1989;10061091;10061021
1988;1989;10061091;10061092
1988;1989;10061099;10061023
1988;1989;10061099;10061025
1988;1989;10061099;10061027
1988;1989;10061099;10061094
1988;1989;10061099;10061096
1988;1989;10061099;10061098
1988;1989;10062010;10062011
1988;1989;10062010;10062092
1988;1989;10062090;10062013
1988;1989;10062090;10062015
1988;1989;10062090;10062017
1988;1989;10062090;10062094
1988;1989;10062090;10062096
1988;1989;10062090;10062098
1988;1989;10063011;10063021
1988;1989;10063011;10063042
1988;1989;10063019;10063023
1988;1989;10063019;10063025
1988;1989;10063019;10063027
1988;1989;10063019;10063044
1988;1989;10063019;10063046
1988;1989;10063019;10063048
1988;1989;10063091;10063061
1988;1989;10063091;10063092
1988;1989;10063099;10063063
1988;1989;10063099;10063065
1988;1989;10063099;10063067
1988;1989;10063099;10063094
1988;1989;10063099;10063096
1988;1989;10063099;10063098
1988;1989;27090000;27090010
1988;1989;27090000;27090090
1988;1989;28352200;28352210
1988;1989;28352200;28352290
1988;1989;28352500;28352510
1988;1989;28352500;28352590
1988;1989;28352600;28352610
1988;1989;28352600;28352690
1988;1989;28353990;28353930
1988;1989;28353990;28353950
1988;1989;28353990;28353980
1988;1989;29034000;29034010
1988;1989;29034000;29034020
1988;1989;29034000;29034030
1988;1989;29034000;29034040
1988;1989;29034000;29034050
1988;1989;29034000;29034060
1988;1989;29034000;29034070
1988;1989;29034000;29034080
1988;1989;29034000;29034091
1988;1989;29034000;29034099
1988;1989;29159000;29159010
1988;1989;29159000;29159090
1988;1989;29211110;29211111
1988;1989;29211110;29211119
1988;1989;32159030;32159080
1988;1989;32159090;32159080
1988;1989;33049910;33049900
1988;1989;33049990;33049900
1988;1989;38123010;38123020
1988;1989;38123090;38123020
1988;1989;38123090;38123080
1988;1989;38171090;38171050
1988;1989;38171090;38171080
1988;1989;38239099;38239096
1988;1989;38239099;38239097
1988;1989;38239099;38239098
1988;1989;39079100;39079110
1988;1989;39079100;39079190
1988;1989;48022010;48022000
1988;1989;48022090;48022000
1988;1989;49119191;49119190
1988;1989;49119199;49119190
1988;1989;72166010;72166011
1988;1989;72166010;72166019
1988;1989;72169099;72169060
1988;1989;72169099;72169093
1988;1989;72169099;72169095
1988;1989;72169099;72169097
1988;1989;72169099;72169098
1988;1989;73251010;73251020
1988;1989;73251010;73251050
1988;1989;73251010;73251091
1988;1989;73251090;73251050
1988;1989;73251090;73251091
1988;1989;73251090;73251099
1988;1989;84178000;84178010
1988;1989;84178000;84178090
1988;1989;84314910;84314920
1988;1989;84314990;84314920
1988;1989;84314990;84314980
1988;1989;84669110;84669120
1988;1989;84669190;84669120
1988;1989;84669190;84669180
1988;1989;84669210;84669220
1988;1989;84669290;84669220
1988;1989;84669290;84669280
1988;1989;84669310;84669320
1988;1989;84669390;84669320
1988;1989;84669390;84669380
1988;1989;84799091;84799092
1988;1989;84799099;84799092
1988;1989;84799099;84799098
1988;1989;84839091;84839092
1988;1989;84839099;84839092
1988;1989;84839099;84839098
1988;1989;85142091;85165000
1988;1989;85142099;85142090
1988;1989;85165000;85165000
1988;1989;85273200;85273210
1988;1989;85273200;85273290
1988;1989;85281060;85281061
1988;1989;85281060;85281069
1988;1989;85281099;85281080
1988;1989;85281099;85281098
1988;1989;85282010;85282020
1988;1989;85282090;85282020
1988;1989;85282090;85282091
1988;1989;85282090;85282099
1988;1989;85361000;85361010
1988;1989;85361000;85361050
1988;1989;85361000;85361090
1988;1989;85369090;85369001
1988;1989;85369090;85369080
1988;1989;85372010;85372091
1988;1989;85372091;85372091
1988;1989;87032210;87032211
1988;1989;87032210;87032219
1988;1989;87032310;87032311
1988;1989;87032310;87032319
1988;1989;87033210;87033211
1988;1989;87033210;87033219
1988;1989;87033310;87033311
1988;1989;87033310;87033319
1988;1989;87163990;87163930
1988;1989;87163990;87163951
1988;1989;87163990;87163959
1988;1989;87163990;87163980
1988;1989;87169000;87169010
1988;1989;87169000;87169030
1988;1989;87169000;87169050
1988;1989;87169000;87169090
1988;1989;93062910;93062920
1988;1989;93062930;93062940
1988;1989;93062990;93062920
1988;1989;93062990;93062940
1988;1989;93062990;93062980
1988;1989;94042100;94042110
1988;1989;94042100;94042190
1988;1989;95043000;95043010
1988;1989;95043000;95043030
1988;1989;95043000;95043050
1988;1989;95043000;95043090
1989;1990;03022900;03022990
1989;1990;03026510;03026520
1989;1990;03026510;03026550
1989;1990;03026971;03022910
1989;1990;03034211;03034218
1989;1990;03034219;03034212
1989;1990;03034231;03034238
1989;1990;03034239;03034232
1989;1990;03034251;03034258
1989;1990;03034259;03034252
1989;1990;03037510;03037520
1989;1990;03037510;03037550
1989;1990;03037973;03033920
1989;1990;03041099;03041092
1989;1990;03041099;03041093
1989;1990;03041099;03041098
1989;1990;03042099;03042085
