HS 1996;HS 1992
10111;10111
10119;10119
10120;10120
10210;10210
10290;10290
10310;10310
10391;10391
10392;10392
10410;10410
10420;10420
10511;10511
10512;10519
10519;10519
10592;10591
10593;10591
10599;10599
10600;10600
20110;20110
20120;20120
20130;20130
20210;20210
20220;20220
20230;20230
20311;20311
20312;20312
20319;20319
20321;20321
20322;20322
20329;20329
20410;20410
20421;20421
20422;20422
20423;20423
20430;20430
20441;20441
20442;20442
20443;20443
20450;20450
20500;20500
20610;20610
20621;20621
20622;20622
20629;20629
20630;20630
20641;20641
20649;20649
20680;20680
20690;20690
20711;20710
20712;20721
20713;20739
20714;20741
20714;20750
20724;20710
20725;20722
20726;20739
20727;20742
20727;20750
20732;20710
20733;20723
20734;20731
20735;20739
20736;20743
20736;20750
20810;20810
20820;20820
20890;20890
20900;20900
21011;21011
21012;21012
21019;21019
21020;21020
21090;21090
30110;30110
30191;30191
30191;30199
30192;30192
30193;30193
30199;30199
30211;30211
30211;30219
30212;30212
30219;30219
30221;30221
30222;30222
30223;30223
30229;30229
30231;30231
30232;30232
30233;30233
30239;30239
30240;30240
30250;30250
30261;30261
30262;30262
30263;30263
30264;30264
30265;30265
30266;30266
30269;30269
30270;30270
30310;30310
30321;30321
30321;30329
30322;30322
30329;30329
30331;30331
30332;30332
30333;30333
30339;30339
30341;30341
30342;30342
30343;30343
30349;30349
30350;30350
30360;30360
30371;30371
30372;30372
30373;30373
30374;30374
30375;30375
30376;30376
30377;30377
30378;30378
30379;30379
30380;30380
30410;30410
30420;30420
30490;30490
30510;30510
30520;30520
30530;30530
30541;30541
30542;30542
30549;30549
30551;30551
30559;30559
30561;30561
30562;30562
30563;30563
30569;30569
30611;30611
30612;30612
30613;30613
30614;30614
30619;30619
30621;30621
30622;30622
30623;30623
30624;30624
30629;30629
30710;30710
30721;30721
30729;30729
30731;30731
30739;30739
30741;30741
30749;30749
30751;30751
30759;30759
30760;30760
30791;30791
30799;30799
40110;40110
40120;40120
40130;40130
40210;40210
40221;40221
40229;40229
40291;40291
