HS;BEC
10121;41
10129;111
10130;41
10190;111
10221;41
10229;111
10231;41
10239;111
10290;41
10310;41
10391;111
10392;111
10410;111
10420;111
10511;111
10512;111
10513;111
10514;111
10515;111
10594;111
10599;111
10611;111
10612;111
10613;111
10614;111
10619;111
10620;111
10631;111
10632;111
10633;111
10639;111
10641;111
10649;111
10690;111
20110;121
20120;122
20130;122
20210;121
20220;122
20230;122
20311;121
20312;122
20319;122
20321;121
20322;122
20329;122
20410;121
20421;121
20422;122
20423;122
20430;121
20441;121
20442;122
20443;122
20450;122
20500;121
20610;122
20621;122
20622;122
20629;122
20630;122
20641;122
20649;122
20680;122
20690;122
20711;122
20712;122
20713;122
20714;122
20724;122
20725;122
20726;122
20727;122
20741;122
20742;122
20743;122
20744;122
20745;122
20751;122
20752;122
20753;122
20754;122
20755;122
20760;122
20810;122
20830;122
20840;122
20850;122
20860;122
20890;122
20910;121
20990;121
21011;122
21012;122
21019;122
21020;122
21091;122
21092;122
21093;122
21099;122
30111;63
30119;63
30191;112
30192;112
30193;112
30194;112
30195;112
30199;112
30211;112
30213;112
30214;112
30219;112
30221;112
30222;112
30223;112
30224;112
30229;112
30231;112
30232;112
30233;112
30234;112
30235;112
30236;112
30239;112
30241;112
30242;112
30243;112
30244;112
30245;112
30246;112
30247;112
30249;112
30251;112
30252;112
30253;112
30254;112
30255;112
30256;112
30259;112
30271;112
30272;112
30273;112
30274;112
30279;112
30281;112
30282;112
30283;112
30284;112
30285;112
30289;112
30291;122
30292;112
30299;112
30311;122
30312;122
30313;122
30314;122
30319;122
30323;122
30324;122
30325;122
30326;122
30329;122
30331;122
30332;122
30333;122
30334;122
30339;122
30341;122
30342;122
30343;122
30344;122
30345;122
30346;122
30349;122
30351;122
30353;122
30354;122
30355;122
30356;122
30357;122
30359;122
30363;122
30364;122
30365;122
30366;122
30367;122
30368;122
30369;122
30381;122
30382;122
30383;122
30384;122
30389;122
30391;122
30392;122
30399;122
30431;122
30432;122
30433;122
30439;122
30441;122
30442;122
30443;122
30444;122
30445;122
30446;122
30447;122
30448;122
30449;122
30451;122
30452;122
30453;122
30454;122
30455;122
30456;122
30457;122
30459;122
30461;122
30462;122
30463;122
30469;122
30471;122
30472;122
30473;122
30474;122
30475;122
30479;122
30481;122
30482;122
30483;122
30484;122
30485;122
30486;122
30487;122
30488;122
30489;122
30491;122
30492;122
30493;122
30494;122
30495;122
30496;122
30497;122
30499;122
30510;121
30520;122
30531;122
30532;122
30539;122
30541;122
30542;122
30543;122
30544;122
30549;122
30551;112
30552;112
30553;112
30554;112
30559;112
30561;112
30562;112
30563;112
30564;112
30569;112
30571;12
30572;12
30579;12
30611;12
30612;12
30614;12
30615;12
30616;12
30617;12
30619;12
30631;12
30632;12
30633;12
30634;122
30635;12
30636;12
30639;122
30691;12
30692;12
30693;12
30694;122
30695;12
30699;122
30711;112
30712;12
30719;12
30721;112
30722;12
30729;12
30731;112
30732;12
30739;12
30742;112
30743;12
30749;12
30751;112
30752;12
30759;12
30760;122
30771;112
30772;12
30779;12
30781;112
30782;112
30783;12
30784;12
30787;12
30788;12
30791;112
30792;12
30799;12
30811;112
30812;12
30819;12
30821;112
30822;12
30829;12
30830;12
30890;12
40110;112
40120;112
40140;112
40150;112
40210;121
40221;122
40229;122
40291;122
40299;122
40310;112
40390;112
40410;121
40490;121
40510;122
40520;122
40590;122
40610;122
40620;122
40630;122
40640;122
40690;122
40711;112
40719;112
40721;112
40729;112
40790;112
40811;121
40819;121
40891;121
40899;121
40900;112
41000;122
50100;21
50210;21
50290;21
50400;21
50510;21
50590;21
50610;21
50690;21
50710;21
50790;21
50800;21
51000;21
51110;21
51191;21
51199;21
60110;21
60120;21
60210;21
60220;21
60230;21
60240;21
60290;21
60311;63
60312;63
60313;63
60314;63
60315;63
60319;63
60390;63
60420;21
60490;21
70110;21
70190;112
70200;112
70310;112
70320;112
70390;112
70410;112
70420;112
70490;112
70511;112
70519;112
70521;112
70529;112
70610;112
70690;112
70700;112
70810;112
70820;112
70890;112
70920;112
70930;112
70940;112
70951;112
70959;112
70960;112
70970;112
70991;112
70992;112
70993;112
70999;112
71010;112
71021;112
71022;112
71029;112
71030;112
71040;112
71080;112
71090;112
71120;122
71140;122
71151;122
71159;122
71190;122
71220;122
71231;122
71232;122
71233;122
71239;122
71290;122
71310;112
71320;112
71331;112
71332;112
71333;112
71334;112
71335;112
71339;112
71340;112
71350;112
71360;112
71390;112
71410;112
71420;112
71430;112
71440;112
71450;112
71490;112
80111;111
80112;111
80119;111
80121;112
80122;112
80131;112
80132;112
80211;112
80212;112
80221;112
80222;112
80231;112
80232;112
80241;112
80242;112
80251;112
80252;112
80261;112
80262;112
80270;112
80280;112
80290;112
80310;112
80390;112
80410;112
80420;112
80430;112
80440;112
80450;112
80510;112
80521;112
80522;112
80529;112
80540;112
80550;112
80590;112
80610;112
80620;112
80711;112
80719;112
80720;112
80810;112
80830;112
80840;112
80910;112
80921;112
80929;112
80930;112
80940;112
81010;112
81020;112
81030;112
81040;112
81050;112
81060;112
81070;112
81090;112
81110;112
81120;112
81190;112
81210;111
81290;111
81310;112
81320;112
81330;112
81340;112
81350;112
81400;111
90111;111
90112;111
90121;122
90122;122
90190;122
90210;112
90220;112
90230;112
90240;112
90300;112
90411;112
90412;112
90421;112
90422;112
90510;112
90520;112
90611;112
90619;112
90620;112
90710;112
90720;112
90811;112
90812;112
90821;112
90822;112
90831;112
90832;112
90921;112
90922;112
90931;112
90932;112
90961;112
90962;112
91011;112
91012;112
91020;112
91030;112
91091;112
91099;112
100111;111
100119;111
